Utterance,Service
I need a hotel in the south with free wifi.,1
Can you tell me if the cheap one has a star rating?,1
"Yes, please book a room for 5 people.",1
"Please book it on Thursday, for 5 people, and 3 days.",1
"Yes, I need a place to stay that is expensive, and is a hotel please.",1
Not really. Do all of them include free parking?,1
"Can you please book one for me? I would also like the star of the hotel, the postcode, and the phone number please.",1
"My mistake, no booking needed. I just require the hotel's name, the star of the hotel, its postcode, and also its phone number.",1
Thank you. I also need a train from Broxbourne to Cambridge on Monday. I need to arrive in Cambridge by 16:30.,2
What was the departure time?,2
I need a place to stay that has a 4 star rating.,1
"No, price doesn't matter. I prefer free parking though.",1
Yes can you please and send me the reference number?,1
i need the room for five nights.,1
"I'd like to book for eight people lasting five nights, starting on Saturday.",1
"I'd like to book for eight people lasting five nights, starting on Saturday.",0
"ofcourse, information on parking",1
"Yes, please. I need a reservation at a restaurant called the slug and lettuce. Do they have room on that same day at 14:45?",0
I need to find a train out of Cambridge this Friday.,2
"No, I need a train that leaves after 17:15 that goes to broxbourne.",2
"Yes please, let's book that for 1 person.",2
Thank You. I would also like to know about places to go in the centre area.,2
"Vue Cinema sounds good. Can I get their address and phone number, and can you tell me how much it is to get in there?",2
I want to visit the museum of archaelogy and anthropology and need a taxi to take me,2
I need to arrive by 04:45.,2
I am departing from The Missing Sock.,2
I'm looking for a guesthouse that includes free parking.,1
Does the Acorn Guest House include free parking and is it located in the north?,1
What is the postcode?,1
"No, thank you. I do need information about a train leaving after 18:00 on Saturday.",2
Departing from Kings Lynn.,2
My destination is Cambridge.,2
Could you tell me the travel time and price of that train please?,2
Please find a theater in the centre.,2
Could i get the postcode for the Cambridge Corn?,2
Yes I am looking for information on a particular restaurant called the Peking Restaurant.,0
Yes book it for 6 people at 13:30 on wednesday please.,0
"Hi, I'm looking for a park in the town centre.",2
"I also would like the postcode, address and entrance fee.",2
I am looking for a train. The train should depart from norwich and should leave after 11:45,2
I need to leave on Thursday.,2
"Actually, I only need the information for today. I don't want to purchase yet. Can I get the arrival time and price for that train?",2
How long will I be traveling?,2
"I am looking for an expensive, centrally located restaurant.",0
I don't care either way.,0
That sounds interesting! I'd like to book a table for 6 at 12:15 on Thursday.,0
Could you also help me find a train leaving friday for broxbourne?,2
It should arrive by 17:15.,2
That doesn't work. I need a train that arrives closer to 17:15 for 6 people.,2
